                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.50475,                0.36792,                 0.8676,                0.87663,                0.80182,                0.88543,                0.76009,                   0.68,                0.71534,                 1.0566,             0.00049531,             0.00049531,             0.00049531
                     81,                0.48823,                0.36365,                0.87446,                0.81673,                0.86887,                0.89026,                0.75946,                 0.6884,                0.68203,                 1.0487,             0.00049311,             0.00049311,             0.00049311
                     82,                  0.496,                0.36364,                0.87151,                0.84616,                 0.8242,                0.88768,                0.76327,                 0.6829,                0.66385,                 1.0404,             0.00049091,             0.00049091,             0.00049091
                     83,                0.49894,                0.36256,                  0.874,                0.89153,                0.84395,                0.89706,                0.76848,                0.66969,                0.62712,                 1.0569,             0.00048871,             0.00048871,             0.00048871
                     84,                0.50299,                0.36021,                0.86755,                0.95519,                0.83192,                0.90991,                0.78131,                0.66868,                0.63083,                 1.0535,             0.00048651,             0.00048651,             0.00048651
                     85,                0.48649,                0.35303,                0.86722,                0.93774,                0.82524,                0.91129,                0.78135,                0.66078,                0.63923,                  1.053,             0.00048431,             0.00048431,             0.00048431
                     86,                0.50216,                0.35463,                0.87341,                0.92025,                 0.8282,                0.91107,                0.77396,                0.66587,                0.61527,                 1.0477,             0.00048211,             0.00048211,             0.00048211
                     87,                0.49261,                0.36282,                0.86977,                0.84812,                0.85764,                0.89022,                0.77186,                0.66459,                0.63286,                  1.045,             0.00047991,             0.00047991,             0.00047991
                     88,                0.49244,                0.35376,                0.86947,                0.84038,                 0.8644,                0.89469,                0.78754,                0.65892,                0.62485,                 1.0403,             0.00047771,             0.00047771,             0.00047771
                     89,                 0.4799,                0.35456,                0.86211,                0.89445,                  0.813,                0.89857,                0.78148,                  0.669,                0.61769,                 1.0628,              0.0004755,              0.0004755,              0.0004755
                     90,                0.48049,                0.34827,                0.86371,                0.90093,                0.85245,                0.90989,                0.78653,                0.68491,                0.59573,                 1.0733,              0.0004733,              0.0004733,              0.0004733
                     91,                0.48011,                0.34699,                0.86453,                0.85554,                0.86595,                0.91132,                0.79051,                0.66159,                0.55884,                 1.0471,              0.0004711,              0.0004711,              0.0004711
                     92,                0.47136,                0.34227,                0.85966,                 0.9053,                0.82532,                0.90857,                0.77881,                0.71041,                0.55796,                 1.0914,              0.0004689,              0.0004689,              0.0004689
                     93,                0.48185,                0.34071,                0.86254,                0.84973,                 0.8894,                0.90811,                0.78424,                0.69109,                0.57059,                 1.0715,              0.0004667,              0.0004667,              0.0004667
                     94,                0.46768,                0.34104,                0.85796,                0.86183,                0.86115,                0.90069,                0.77428,                0.70352,                0.62635,                  1.081,              0.0004645,              0.0004645,              0.0004645
                     95,                0.46573,                0.33394,                0.86083,                0.91223,                0.83044,                0.90579,                0.76086,                0.73168,                0.59973,                 1.1188,              0.0004623,              0.0004623,              0.0004623
                     96,                0.45747,                0.32451,                0.86393,                0.89329,                0.84321,                0.89505,                0.75389,                0.70844,                0.64406,                 1.1063,              0.0004601,              0.0004601,              0.0004601
                     97,                0.46565,                0.33788,                0.86408,                0.90743,                0.86055,                0.90403,                0.77087,                0.68076,                0.63688,                 1.0906,              0.0004579,              0.0004579,              0.0004579
                     98,                0.47814,                0.34237,                0.86203,                0.90539,                0.85657,                0.90927,                0.77435,                0.67509,                0.59548,                 1.0604,             0.00045569,             0.00045569,             0.00045569
                     99,                0.46089,                0.32706,                0.85388,                0.88534,                0.88008,                0.91815,                0.79582,                0.66093,                0.58987,                 1.0447,             0.00045349,             0.00045349,             0.00045349
                    100,                0.46489,                0.33299,                0.86138,                0.89304,                0.86802,                0.91362,                0.78382,                0.68019,                0.59753,                 1.0639,             0.00045129,             0.00045129,             0.00045129
                    101,                0.46924,                0.33509,                0.86159,                0.90791,                0.86636,                 0.9209,                0.78615,                0.67809,                 0.5937,                 1.0535,             0.00044909,             0.00044909,             0.00044909
                    102,                0.46852,                0.33397,                0.85737,                0.89252,                0.86442,                0.91897,                0.78152,                0.70044,                 0.6166,                  1.072,             0.00044689,             0.00044689,             0.00044689
                    103,                0.46196,                0.32789,                0.86007,                0.89792,                0.86334,                0.91785,                 0.7885,                0.68008,                0.56933,                 1.0511,             0.00044469,             0.00044469,             0.00044469
                    104,                 0.4704,                0.33534,                0.85991,                0.89649,                0.86438,                0.91547,                0.78965,                0.65498,                0.57514,                 1.0415,             0.00044249,             0.00044249,             0.00044249
                    105,                0.45095,                0.32485,                0.85805,                0.87096,                 0.8624,                0.90795,                0.78265,                0.64533,                0.59913,                 1.0294,             0.00044029,             0.00044029,             0.00044029
                    106,                0.45011,                0.32526,                0.85175,                0.88004,                0.88159,                0.91515,                0.78805,                0.64657,                0.54999,                 1.0437,             0.00043809,             0.00043809,             0.00043809
                    107,                 0.4484,                0.32392,                0.85438,                0.89608,                0.85051,                0.90648,                0.77909,                0.63723,                0.60186,                 1.0228,             0.00043588,             0.00043588,             0.00043588
                    108,                0.46594,                0.33553,                0.85802,                0.87195,                0.83689,                0.89859,                0.77736,                0.66136,                0.65807,                 1.0561,             0.00043368,             0.00043368,             0.00043368
                    109,                0.45656,                0.33183,                 0.8584,                0.86453,                0.81958,                0.89031,                0.76893,                0.66097,                0.67945,                 1.0442,             0.00043148,             0.00043148,             0.00043148
                    110,                0.46057,                0.32912,                0.85952,                0.88482,                0.83162,                0.89807,                0.78052,                0.66897,                0.62393,                 1.0398,             0.00042928,             0.00042928,             0.00042928
                    111,                0.44738,                0.31907,                0.85654,                0.93086,                0.83856,                0.90085,                0.77914,                0.66325,                0.58729,                  1.054,             0.00042708,             0.00042708,             0.00042708
                    112,                0.45264,                0.32632,                0.85983,                0.93239,                 0.8227,                0.89548,                0.78042,                0.65764,                0.60451,                  1.056,             0.00042488,             0.00042488,             0.00042488
                    113,                0.45214,                0.32794,                0.86224,                0.91939,                0.84034,                 0.9086,                0.78338,                0.67126,                0.61681,                  1.062,             0.00042268,             0.00042268,             0.00042268
                    114,                 0.4486,                 0.3228,                0.85939,                0.88342,                0.86701,                0.90299,                0.78246,                 0.6609,                0.58505,                 1.0631,             0.00042048,             0.00042048,             0.00042048
